# Destination	Skills	Item IDs	Quests	Varbits	Consumable	Wilderness level	Duration	Display info
# Ardougne Cloaks (2-4's farm teleport is limited to 3,5, or infinite times - can this be validated?)								
2549 3112 0		8012	Watchtower		T	19	4	Watchtower tablet
# Varbit 4460 is DIARY_ARDOUGNE_HARD								
2584 3097 0		8012	Watchtower	4460=1	T	19	4	Watchtower tablet: Yanille
2953 3224 0		11741			T	19	4	Rimmington tablet
2893 3465 0		11742			T	19	4	Taverley tablet
3340 3004 0		11743			T	19	4	Pollnivneach tablet
2670 3631 0		11744			T	19	4	Rellekka tablet
2757 3179 0		11745			T	19	4	Brimhaven tablet
2544 3096 0		11746			T	19	4	Yanille tablet
2890 3679 0		11747			T	19	4	Trollheim tablet
1743 3517 0		19651			T	19	4	Hosidius tablet
3239 6077 0		23771			T	19	4	Prifddinas tablet
3100 9883 0		12781	Desert Treasure I		T	19	4	Paddewwa tablet
3320 3337 0		12782	Desert Treasure I		T	19	4	Senntisten tablet
3494 3473 0		12779	Desert Treasure I		T	19	4	Kharyrll tablet
3002 3470 0		12780	Desert Treasure I		T	19	4	Lassar tablet
2968 3696 0		12777	Desert Treasure I		T	19	4	Dareeyak tablet
3158 3666 0		12776	Desert Treasure I		T	19	4	Carrallanger tablet
3287 3888 0		12775	Desert Treasure I		T	19	4	Annakarl tablet
2974 3873 0		12778	Desert Treasure I		T	19	4	Ghorrock tablet
2113 3915 0		24949	Lunar Diplomacy		T	19	4	Moonclan tablet
2468 3246 0		24951	Lunar Diplomacy		T	19	4	Ourania tablet
2546 3756 0		24953			T	19	4	Waterbirth tablet
2543 3569 0		24955			T	19	4	Barbarian tablet
2636 3167 0		24957			T	19	4	Khazard tablet
2613 3391 0		24959			T	19	4	Fishing guild tablet
2801 3449 0		24961			T	19	4	Catherby tablet
2975 3938 0		24963			T	19	4	Ice plateau tablet
1633 3838 0		19613			T	19	4	Arceuus Library tablet
3110 3350 0		19615			T	19	4	Draynor Manor tablet
1347 3740 0		22949			T	19	4	Battlefront tablet
2980 3509 0		19617			T	19	4	Mind Altar tablet
3432 3461 0		19619	Priest in Peril		T	19	4	Salve Graveyard tablet
3548 3529 0		19621	Priest in Peril		T	19	4	Fenkenstrain's Castle tablet
2500 3291 0		19623	Biohazard		T	19	4	West Ardougne tablet
3797 2867 0		19625	The Great Brain Robbery		T	19	4	Harmony Island tablet
2980 3763 0		19627			T	19	4	Cemetery tablet
3565 3314 0		19629	Priest in Peril		T	19	4	Barrows tablet
2771 9102 0		19631	Monkey Madness I		T	19	4	Ape Atoll tablet
3811 3813 0		21541			T	19	4	Volcanic Mine tablet
3352 3782 0		24251			T	19	4	Wilderness Crabs tablet
1680 3134 0		28824	Twilight's Promise		T	19	4	Civitas illa Fortis tablet
								
#  Teleport Scrolls (todo: how to detect these in the master scroll book?)								
3419 2917 0		12402			T	19	4	Nardah teleport
3325 3412 0		12403			T	19	4	Digsite teleport
2541 2925 0		12404			T	19	4	Feldip hills teleport
2094 3913 0		12405	Lunar Diplomacy		T	19	4	Lunar isle teleport
3488 3288 0		12406	Priest in Peril		T	19	4	Mort'ton teleport
2658 2659 0		12407			T	19	4	Pest control teleport
2339 3649 0		12408			T	19	4	Piscatoris teleport
2789 3066 0		12409	Tai Bwo Wannai Trio		T	19	4	Tai bwo wannai teleport
2194 3258 0		12410	Regicide		T	19	4	Iorwerth camp teleport
3701 2996 0		12411	Cabin Fever		T	19	4	Mos le'harmless teleport
3302 3487 0		12642			T	19	4	Lumberyard teleport
2196 3056 0		12938	Regicide		T	19	4	Zul-andra teleport
1310 1250 0		13249			T	19	4	Key master teleport
3128 3832 0		21802			T	19	4	Revenant cave teleport
1645 3580 0		23387			T	19	4	Watson teleport
								
# capes								
2931 3286 0		9780;9781			F	19	4	Crafting cape: Teleport
# The Construction cape's home teleports, determined by varbit 2187								
# 0 - None								
# 1 - Rimmington								
2952 3224 0		9789;9790		2187=1	F	19	4	Construction cape: Home
# 2 - Taverly								
2892 3465 0		9789;9790		2187=2	F	19	4	Construction cape: Home
# 3 - Pollnivneach								
3339 3001 0		9789;9790		2187=3	F	19	4	Construction cape: Home
# 4 - Rellekka								
2669 3629 0		9789;9790		2187=4	F	19	4	Construction cape: Home
# 5 - Brimhaven								
2756 3176 0		9789;9790		2187=5	F	19	4	Construction cape: Home
# 6 - Yanille								
2545 3097 0		9789;9790		2187=6	F	19	4	Construction cape: Home
# 7 - Prifddinas								
3239 6077 0		9789;9790		2187=7	F	19	4	Construction cape: Home
# 8 - Hosidius								
1740 3517 0		9789;9790		2187=8	F	19	4	Construction cape: Home
2952 3224 0		9789;9790			F	19	4	Construction cape: Rimmington
2892 3465 0		9789;9790			F	19	4	Construction cape: Taverley
3339 3001 0		9789;9790			F	19	4	Construction cape: Pollnivneach
1743 3517 0		9789;9790			F	19	4	Construction cape: Hosidius
2669 3629 0		9789;9790			F	19	4	Construction cape: Rellekka
2756 3176 0		9789;9790			F	19	4	Construction cape: Brimhaven
2545 3097 0		9789;9790			F	19	4	Construction cape: Yanille
3239 6077 0		9789;9790			F	19	4	Construction cape: Prifddinas
2604 3401 0		9798;9799			F	19	4	Fishing cape
1248 3725 0		9810;9811			F	19	4	Farming cape
2556 2917 0		9948;9949			F	19	4	Hunter cape: Feldip Hills
3144 3772 0		9948;9949			F	19	4	Hunter cape: Black chinchompa
2865 3546 0		9750;9751			F	19	4	Strength cape
# Max capes								
# The Max cape's home teleports, determined by varbit 2187								
# 0 - None								
# 1 - Rimmington								
2952 3224 0		13280;13342		2187=1	F	19	4	Max cape: Home
# 2 - Taverly								
2892 3465 0		13280;13342		2187=2	F	19	4	Max cape: Home
# 3 - Pollnivneach								
3339 3001 0		13280;13342		2187=3	F	19	4	Max cape: Home
# 4 - Rellekka								
2669 3629 0		13280;13342		2187=4	F	19	4	Max cape: Home
# 5 - Brimhaven								
2756 3176 0		13280;13342		2187=5	F	19	4	Max cape: Home
# 6 - Yanille								
2545 3097 0		13280;13342		2187=6	F	19	4	Max cape: Home
# 7 - Prifddinas								
3239 6077 0		13280;13342		2187=7	F	19	4	Max cape: Home
# 8 - Hosidius								
1740 3517 0		13280;13342		2187=8	F	19	4	Max cape: Home
2952 3224 0		13280;13342			F	19	4	Max cape: Rimmington
2892 3465 0		13280;13342			F	19	4	Max cape: Taverley
3339 3001 0		13280;13342			F	19	4	Max cape: Pollnivneach
1743 3517 0		13280;13342			F	19	4	Max cape: Hosidius
2669 3629 0		13280;13342			F	19	4	Max cape: Rellekka
2756 3176 0		13280;13342			F	19	4	Max cape: Brimhaven
2545 3097 0		13280;13342			F	19	4	Max cape: Yanille
3239 6077 0		13280;13342			F	19	4	Max cape: Prifddinas
2865 3546 0		13280;13342			F	19	4	Max cape: Warriors' Guild
2604 3401 0		13280;13342			F	19	4	Max cape: Fishing Guild
2931 3286 0		13280;13342			F	19	4	Max cape: Crafting Guild
2556 2917 0		13280;13342			F	19	4	Max cape: Feldip Hills
3144 3772 0		13280;13342			F	19	4	Max cape: Black chinchompa
3144 3772 0		13280;13342			F	19	4	Max cape: Black chinchompa
#Quest point cape (instead of using the item name we use the action teleport, we use the itemids to verifiy the item)								
3144 3772 0		9813;13068			F	19	4	Quest point cape: Teleport
2689 3547 0		13221;13222			F	19	4	Music cape: Teleport
2574 3323 0		13069;19476			F	19	4	1. Achievement diary cape: Two-pints
3302 3122 0		13069;19476			F	19	4	2. Achievement diary cape: Jarr
2978 3347 0		13069;19476			F	19	4	3. Achievement diary cape: Sir Rebral
#2689 3547 0		13069;19476			F	19	4	4. Achievement diary cape: Thorodin
#2978 3347 0		13069;19476			F	19	4	3. Achievement diary cape: Sir Rebral
2659 3627 0		13069;19476			F	19	4	4. Achievement diary cape: Thorodin
2744 3443 0		13069;19476			F	19	4	5. Achievement diary cape: Flax keeper
2808 3192 0		13069;19476			F	19	4	6. Achievement diary cape: Pirate Jackie the Fruit
# The wiki lists these as (retired), so they are left out								
#2862 2997 0		13069;19476			F	19	4	7. Achievement diary cape: Kaleb Paramaya
#2795 2947 0		13069;19476			F	19	4	8. Achievement diary cape: Jungle forester
#2453 5133 0		13069;19476			F	19	4	9. Achievement diary cape: TzHaar-Mej
1648 3665 0		13069;19476			F	19	4	A. Achievement diary cape: Elise
3234 3214 0		13069;19476			F	19	4	B. Achievement diary cape: Hatius Cosaintus
3465 3478 0		13069;19476			F	19	4	C. Achievement diary cape: Le-sabrè
3225 3415 0		13069;19476			F	19	4	D. Achievement diary cape: Toby
3121 3516 0		13069;19476			F	19	4	E. Achievement diary cape: Lesser Fanatic
2467 3459 0		13069;19476			F	19	4	F. Achievement diary cape: Elder Gnome child
3096 3227 0		13069;19476			F	19	4	G. Achievement diary cape: Twiggy O'Korn
								
# Quest Items								
# Ectophial - includes the empty version								
3659 3523 0		4251;4252			F	19	4	Ectophial
2330 3171 0		6099;6100;6101;6102;13102			T	19	4	Teleport crystal: Lletya
3264 6066 0		6099;6100;6101;6102;13102	Song of the Elves		T	19	4	Teleport crystal: Prifddinas
2330 3171 0		23946			F	19	4	Eternal teleport crystal: Lletya
3264 6066 0		23946	Song of the Elves		F	19	4	Eternal teleport crystal: Prifddinas
2465 3495 0		19564			F	29	4	Royal seed pod
2465 3495 0		9469			T	29	4	Grand seed pod
# Enchanted lyre - 4493 is DIARY_FREMENNIK_HARD, 4494 is DIARY_FREMENNIK_ELITE								
2662 3644 0		3691;6125;6126;6127;13079			T	19	4	Enchanted lyre: Rellekka
2551 3755 0		3691;6125;6126;6127;13079		4493=1	T	19	4	Enchanted lyre: Waterbirth Island
2409 3809 0		3691;6125;6126;6127;13079		4494=1	T	19	4	Enchanted lyre: Jatizso
2336 3802 0		3691;6125;6126;6127;13079		4494=1	T	19	4	Enchanted lyre: Neitiznot
2662 3644 0		23458			F	19	4	Enchanted lyre(i): Rellekka
2551 3755 0		23458		4493=1	F	19	4	Enchanted lyre(i): Waterbirth Island
2409 3809 0		23458		4494=1	F	19	4	Enchanted lyre(i): Jatizso
2336 3802 0		23458		4494=1	F	19	4	Enchanted lyre(i): Neitiznot
3105 9315 0		6707			F	19	4	Camulet: Enakhra's Temple
3191 2924 0		6707			F	19	4	Camulet: Bandit Camp Quarry
1713 3612 0		21760;25818	The Depths of Despair	6035>1	T	19	4	Kharedst's memoirs: Lunch by the Lancalliums
1802 3748 0		21760;25818	The Queen of Thieves	6035>1	T	19	4	Kharedst's memoirs: The Fisher's Flute
1478 3576 0		21760;25818	Tale of the Righteous	6035>1	T	19	4	Kharedst's memoirs: History and Hearsay
1544 3762 0		21760;25818	The Forsaken Tower	6035>1	T	19	4	Kharedst's memoirs: Jewelry of Jubilation
1680 3746 0		21760;25818	The Ascent of Arceuus	6035>1	T	19	4	Kharedst's memoirs: A Dark Disposition
3649 3230 0		22400			F	19	4	Drakan's medallion: Ver Sinhaza
3592 3337 0		22400	Sins of the Father		F	19	4	Drakan's medallion: Darkmeyer
# todo: this only works if you've used a Slepey tablet on the medallion								
3808 9700 0		22400			F	19	4	Drakan's medallion: Slepe
#mythical cape (instead of using the item name we use the action teleport, we use the itemids to verifiy the item)								
2457 2850 0		21913;22114;24855			F	19	4	Mythical cape: Teleport
# Stony Basalt - 4493 is DIARY_FREMENNIK_HARD								
2845 3694 0		22601			T	19	4	Stony basalt
2837 3695 0	73 Agility	22601		4493=1	T	19	4	Stony basalt: Roof
2846 3938 0		22599			T	19	4	Icy basalt
								
# Other								
1934 4428 0		26948			T	19	4	Pharaoh's sceptre: Jalsavrah
3341 2827 0		26948			T	19	4	Pharaoh's sceptre: Jaleustrophos
3232 2897 0		26948			T	19	4	Pharaoh's sceptre: Jaldraocht
3313 2718 0		26948			T	19	4	Pharaoh's sceptre: Jaltevas
3081 3421 0		9013;21276			T	19	4	Skull sceptre
1579 3530 0		13393			T	19	4	1. Xeric's talisman: Xeric's Lookout
1752 3566 0		13393			T	19	4	2. Xeric's talisman: Xeric's Glade
1504 3815 0		13393			T	19	4	3. Xeric's talisman: Xeric's Inferno
1644 3673 0		13393			T	19	4	4. Xeric's talisman: Xeric's Heart
# Requires the use of an ancient tablet to activate								
1254 3560 0		13393			T	19	4	5. Xeric's talisman: Xeric's Honour
3200 3355 0		13660			T	19	4	Chronicle: Teleport
3615 9461 0		26914			F	19	4	Amulet of the eye
2981 3276 0		26818			T	19	4	Ring of the elements: Air
3170 3155 0		26818			T	19	4	Ring of the elements: Water
3288 3468 0		26818			T	19	4	Ring of the elements: Earth
3314 3279 0		26818			T	19	4	Ring of the elements: Fire
2400 5982 0		24709			T	19	4	Hallowed crystal shard
3296 6436 0		28327			T	19	4	Ring of shadows: Ancient Vault
# todo: The remaining Ring of shadows teleports require using a tablet on it once								
2912 10336 0		28327			T	19	4	Ring of shadows: Ghorrock Dungeon
2019 6434 0		28327			T	19	4	Ring of shadows: The Scar
2588 6435 0		28327			T	19	4	Ring of shadows: Lassar Undercity
1175 3424 0		28327			T	19	4	Ring of shadows: The Stranglewood
								
#Quetzal Whistle								
1585 3053 0		29271;29273;29275	Children of the Sun		T	19	4	Quetzal whistle
3164 3478 0		8007		4480=1;4585=1	T	19	4	Varrock tablet: Grand exchange
